id,name,url,review_count,rating,price,latitude,longitude,category
24tRfMCLUG7_4iBX0PCkvQ,Marqt,https://www.yelp.com/biz/marqt-amsterdam-11?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,27,4.5,€€€,52.3654312352649,4.8978741560162,food
eCVbS5VeFn6sqlNJM5BTLQ,Henri Willig,https://www.yelp.com/biz/henri-willig-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,26,4.5,€€,52.3668334,4.8911263,food
8ZQg9uYDsdEpS3QBPdUceA,Brug 34,https://www.yelp.com/biz/brug-34-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,21,4.5,€€,52.36491,4.898,food
nnkvKMyoEzudGTVNfyxEAQ,De Huyschkaemer,https://www.yelp.com/biz/de-huyschkaemer-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,35,4.0,€€,52.36145,4.89933,food
OYn2XajXlPYvOr5eiGoWCA,Studentenartsen Universiteit van Amsterdam,https://www.yelp.com/biz/studentenartsen-universiteit-van-amsterdam-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,3,3.5,,52.36781,4.89406,health
S92UoS9Tn9ZEUDb7zKVIlA,Dental365 Spoed Tandarts,https://www.yelp.com/biz/dental365-spoed-tandarts-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,3,5.0,,52.37586,4.92594,health
t1B3QT7fvdu0gt-FlL2BXw,Yasu Miyamoto Shiatsu & K Y Technique,https://www.yelp.com/biz/yasu-miyamoto-shiatsu-en-k-y-technique-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,1,5.0,,52.36924,4.905,health
7TZnQqkwsWoPUFmNZVsNzQ,Medicijnman,https://www.yelp.com/biz/medicijnman-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,3,2.5,,52.3626246,4.8985391,health
yEcKsmX-BTWxp_L0UOwyAA,Huisartsenpraktijk M.F. Huygen,https://www.yelp.com/biz/huisartsenpraktijk-m-f-huygen-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,1,4.0,,52.361515,4.8973241,health
vx_4JiyiR1XHmyIX5Q02GA,WIT,https://www.yelp.com/biz/wit-amsterdam-5?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,2,3.5,,52.3686889,4.8922453,health
QAKhrr00L8TptKTyBaEp_w,Schilderen & Zo,https://www.yelp.com/biz/schilderen-and-zo-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,1,4.0,,52.3640213,4.9012198,homeservices
bUzTTUj6BDgJGawONM3tVg,Jouke Schouten,https://www.yelp.com/biz/jouke-schouten-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,1,4.0,,52.3692919,4.9014651,homeservices
MHRJwHMfxmvo67Mhx2sYtg,Tike Design Footstools,https://www.yelp.com/biz/tike-design-footstools-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,1,4.0,,52.3694649,4.89387,homeservices
WUjNfccSsDH2z7x-upRF3A,MacBike Fietsenmakerij,https://www.yelp.com/biz/macbike-fietsenmakerij-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,6,3.5,,52.36832,4.90286,localservices
9GqPsQxZL9cebgSZOlrfRA,Stadsregio Amsterdam,https://www.yelp.com/biz/stadsregio-amsterdam-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,1,5.0,,52.3631205,4.9071455,localservices
