source,city,postcode,type,price,surface,rooms,furnished,latitude,longitude,postType
Kamernet,amsterdam,1078TZ, - Apartment ," € 1540,-  Utilities incl. ",56 m2, - 1 bedroom ,Furnished,52.348875,4.906863,Rent
Kamernet,amsterdam,1054DJ, - Apartment ," € 2295,-  ",70 m2, - 2 bedrooms ,Unfurnished,52.363703,4.87558,Rent
Kamernet,amsterdam,1087KD, - Room ," € 700,-  Utilities incl. ",18 m2,,Furnished,52.354405,5.003018,Rent
Kamernet,amsterdam,1104VB, - Room ," € 800,-  ",15 m2,,Unfurnished,52.313789,4.980089,Rent
Kamernet,amsterdam,1083XH, - Room ," € 750,-  Utilities incl. ",10 m2,,Furnished,52.329864,4.884149,Rent
Kamernet,amsterdam,1105BM, - Room ," € 800,-  Utilities incl. ",20 m2,,Unfurnished,52.298622,4.955197,Rent
Kamernet,amsterdam,1064CX, - Room ," € 900,-  Utilities incl. ",15 m2,,Furnished,52.372258,4.829312,Rent
Kamernet,amsterdam,1068EW, - Apartment ," € 1500,-  ",70 m2, - 2 bedrooms ,Furnished,52.358961,4.801087,Rent
Kamernet,amsterdam,1052GN, - Apartment ," € 1900,-  ",64 m2, - 1 bedroom ,Furnished,52.37948,4.874726,Rent
Kamernet,amsterdam,1102KA, - Room ," € 600,-  Utilities incl. ",12 m2,,Furnished,52.307013,4.958902,Rent
Kamernet,amsterdam,1106CX, - Apartment ," € 1800,-  ",73 m2, - 2 bedrooms ,Furnished,52.298869,4.982529,Rent
Kamernet,amsterdam,1075SG, - Room ," € 735,-  ",10 m2,,Furnished,52.351388,4.855656,Rent
Kamernet,amsterdam,1102AL, - Studio ," € 1200,-  ",45 m2, - 1 bedroom ,Uncarpeted,52.322791,4.950209,Rent
Kamernet,amsterdam,1054TZ, - Apartment ," € 950,-  Utilities incl. ",35 m2, - 1 bedroom ,Furnished,52.360137,4.859426,Rent
Kamernet,amsterdam,1036KD, - Room ," € 750,-  Utilities incl. ",12 m2,,Furnished,52.409696,4.901342,Rent
Kamernet,amsterdam,1018WR, - Apartment ," € 1250,-  Utilities incl. ",75 m2, - 2 bedrooms ,Furnished,52.363134,4.909871,Rent
Kamernet,amsterdam,1059AK, - Room ," € 850,-  Utilities incl. ",12 m2,,Furnished,52.349947,4.849152,Rent
Kamernet,amsterdam,1073EJ, - Room ," € 950,-  ",10 m2,,Furnished,52.354539,4.899759,Rent
Kamernet,amsterdam,1057WR, - Room ," € 800,-  Utilities incl. ",45 m2,,Unfurnished,52.366369,4.856759,Rent
Kamernet,amsterdam,1015ZP, - Room ," € 1000,-  Utilities incl. ",25 m2,,Unfurnished,52.374883,4.876525,Rent
Kamernet,amsterdam,1072JC, - Room ," € 800,-  ",16 m2,,Furnished,52.35074,4.889456,Rent
Kamernet,amsterdam,1061BD, - Room ," € 700,-  Utilities incl. ",20 m2,,Uncarpeted,52.379598,4.839375,Rent
Kamernet,amsterdam,1016VS, - Room ," € 900,-  Utilities incl. ",14 m2,,Furnished,52.368804,4.881776,Rent
Kamernet,amsterdam,1061TH, - Room ," € 750,-  Utilities incl. ",9 m2,,Furnished,52.364483,4.841484,Rent
Kamernet,amsterdam,1058VM, - Room ," € 750,-  Utilities incl. ",11 m2,,Furnished,52.360952,4.854538,Rent
Kamernet,amsterdam,1074ED, - Room ," € 850,-  ",8 m2,,Furnished,52.355264,4.903961,Rent
Kamernet,amsterdam,1087DE, - Apartment ," € 1400,-  Utilities incl. ",95 m2, - 1 bedroom ,Furnished,52.358015,4.994937,Rent
Kamernet,amsterdam,1018SX, - Room ," € 885,-  Utilities incl. ",10 m2,,Unfurnished,52.365827,4.910962,Rent
Kamernet,amsterdam,1051JW, - Room ," € 1150,-  Utilities incl. ",16 m2,,Furnished,52.378897,4.869652,Rent
Kamernet,amsterdam,1091HN, - Room ," € 500,-  Utilities incl. ",12 m2,,Furnished,52.357384,4.915985,Rent
Kamernet,amsterdam,1056VE, - Room ," € 765,-  Utilities incl. ",8 m2,,Unfurnished,52.372339,4.857205,Rent
Kamernet,amsterdam,1093MJ, - Room ," € 525,-  Utilities incl. ",11 m2,,Furnished,52.359835,4.928301,Rent
Kamernet,amsterdam,1073BZ, - Room ," € 750,-  Utilities incl. ",8 m2,,Furnished,52.356469,4.89866,Rent
Kamernet,amsterdam,1058HZ, - Apartment ," € 2250,-  Utilities incl. ",67 m2, - 2 bedrooms ,Furnished,52.353914,4.852112,Rent
Kamernet,amsterdam,1058XZ, - Room ," € 1000,-  ",10 m2,,Furnished,52.363413,4.856312,Rent
Kamernet,amsterdam,1017VC, - Room ," € 813,-  ",10 m2,,Uncarpeted,52.360735,4.891973,Rent
Kamernet,amsterdam,1079BT, - Studio ," € 2000,-  Utilities incl. ",19 m2, - 1 bedroom ,Furnished,52.342762,4.90711,Rent
Kamernet,amsterdam,1019WJ, - Room ," € 775,-  Utilities incl. ",25 m2,,Uncarpeted,52.371958,4.946141,Rent
Kamernet,amsterdam,1087LD, - Room ," € 850,-  Utilities incl. ",10 m2,,Furnished,52.351415,5.009668,Rent
Kamernet,amsterdam,1025LH, - Room ," € 800,-  ",35 m2,,Uncarpeted,52.391697,4.93261,Rent
Kamernet,amsterdam,1061AG, - Room ," € 975,-  Utilities incl. ",21 m2,,Furnished,52.371871,4.837325,Rent
Kamernet,amsterdam,1034CK, - Room ," € 580,-  Utilities incl. ",12 m2,,Furnished,52.404859,4.90876,Rent
Kamernet,amsterdam,1092JB, - Room ," € 950,-  ",16 m2,,Furnished,52.355158,4.924789,Rent
Kamernet,amsterdam,1035XM, - Room ," € 680,-  ",14 m2,,Furnished,52.418707,4.896065,Rent
Kamernet,amsterdam,1078LL, - Room ," € 909,-  Utilities incl. ",88 m2,,Furnished,52.34391,4.896972,Rent
Kamernet,amsterdam,1034TR, - Room ," € 550,-  Utilities incl. ",14 m2,,Unfurnished,52.413675,4.918806,Rent
Kamernet,amsterdam,1055ND, - Room ," € 830,-  Utilities incl. ",12 m2,,,52.383176,4.850393,Rent
Kamernet,amsterdam,1107LG, - Room ," € 650,-  Utilities incl. ",10 m2,,Furnished,52.293396,4.986054,Rent
Kamernet,amsterdam,1076LZ, - Room ," € 850,-  ",12 m2,,Furnished,52.344722,4.865735,Rent
