source,postType,city,location,title,price,surface,rooms,furnished,url,scrape_date,post_code
Pararius,Buy,amsterdam,1087 JA Amsterdam (IJburg-West),Appartement Erich Salomonstraat 428,€ 550.000 k.k.,97 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/4c2bdad6/erich-salomonstraat,2024-12-07,1087 JA
Pararius,Buy,amsterdam,1054 JS Amsterdam (Overtoomse Sluis),Appartement Overtoom 406 2,€ 735.000 k.k.,79 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/1811bba5/overtoom,2024-12-07,1054 JS
Pararius,Buy,amsterdam,1077 KH Amsterdam (Apollobuurt),Appartement Cliostraat 18 2,€ 1.085.000 k.k.,155 m²,5 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/b20775ee/cliostraat,2024-12-07,1077 KH
Pararius,Buy,amsterdam,1087 JE Amsterdam (IJburg-West),Appartement Sem Presserhof 97,€ 700.000 k.k.,135 m²,5 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/a771734a/sem-presserhof,2024-12-07,1087 JE
Pararius,Buy,amsterdam,1067 XM Amsterdam (Geuzenveld),Appartement Jan van Duivenvoordestraat 8 1,€ 350.000 k.k.,60 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/a431d2e5/jan-van-duivenvoordestraat,2024-12-07,1067 XM
Pararius,Buy,amsterdam,1075 RT Amsterdam (Schinkelbuurt),Appartement Baarsstraat 11 3,€ 750.000 k.k.,90 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0ec2da3d/baarsstraat,2024-12-07,1075 RT
Pararius,Buy,amsterdam,1093 EL Amsterdam (Dapperbuurt),Appartement Linnaeusstraat 103 2,€ 400.000 k.k.,48 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/539caf1d/linnaeusstraat,2024-12-07,1093 EL
Pararius,Buy,amsterdam,1064 CK Amsterdam (Slotermeer-Zuidoost),Appartement Burgemeester Hogguerstraat 75,€ 350.000 k.k.,45 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/bced9979/burgemeester-hogguerstraat,2024-12-07,1064 CK
Pararius,Buy,amsterdam,1059 VL Amsterdam (Westlandgracht),Appartement Poeldijkstraat 259,€ 785.000 k.k.,91 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/a5294c5e/poeldijkstraat,2024-12-07,1059 VL
Pararius,Buy,amsterdam,1093 GB Amsterdam (Dapperbuurt),Appartement Eerste Van Swindenstraat 429,€ 475.000 k.k.,62 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/f9758eea/eerste-van-swindenstraat,2024-12-07,1093 GB
