page_source,first_scrape_date,last_scrape_date,url,post_type,city,location,title,property_type,postcode,price,price_type,surface,surface_unit,rooms,furnished,postcode_1,gemeente,gemeente_code,wijk,wijk_code,buurt,buurt_code,stadsdeel_onderverdeling,stadsdeel,pc6_jaar
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/2d08e55f/sierplein,Buy,Amsterdam,,Appartement Sierplein 69,Appartement,1065 LN,400000,k.k.,80,m2,4,,1065 LN,Amsterdam,GM0363,Slotervaart-Zuid,WK0363FN,Louis Crispijnbuurt,BU0363FN01,Slotervaart,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/99ce422e/ottho-heldringstraat,Buy,Amsterdam,,Appartement Ottho Heldringstraat 35 E,Appartement,1066 XT,499000,k.k.,92,m2,4,,1066 XT,Amsterdam,GM0363,Slotervaart-Zuid,WK0363FN,Staalmanbuurt,BU0363FN04,Slotervaart,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/68f31a96/haarlemmerweg,Buy,Amsterdam,,Appartement Haarlemmerweg 470,Appartement,1014 BL,875000,k.k.,98,m2,4,,1014 BL,Amsterdam,GM0363,Sloterdijk-West,WK0363EA,Woon- en Groengebied Sloterdijk,BU0363EA03,Bos en Lommer,Stadsdeel West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/5709dc6e/cornelis-van-rijplantsoen,Buy,Amsterdam,,Appartement Cornelis van Rijplantsoen 85,Appartement,1063 MD,465000,k.k.,99,m2,3,,1063 MD,Amsterdam,GM0363,Slotermeer-Noordoost,WK0363FD,Dobbebuurt,BU0363FD04,Geuzenveld-Slotermeer-Sloterdijken,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/d263d237/van-boshuizenstraat,Buy,Amsterdam,,Appartement Van Boshuizenstraat 199,Appartement,1083 AV,350000,k.k.,43,m2,2,,1083 AV,Amsterdam,GM0363,Buitenveldert-Oost,WK0363KR,Buitenveldert-Zuidoost,BU0363KR03,Buitenveldert / Zuidas,Stadsdeel Zuid,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/441532f7/tretjakovlaan,Buy,Amsterdam,,Appartement Tretjakovlaan 66 PP,Appartement,1064 PR,500000,k.k.,97,m2,3,,1064 PR,Amsterdam,GM0363,Slotervaart-Noord,WK0363FL,Oostoever Sloterplas,BU0363FL01,Slotervaart,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/98bf896e/haarlemmerweg,Buy,Amsterdam,,Appartement Haarlemmerweg 295 A,Appartement,1051 NW,585000,k.k.,73,m2,3,,1051 NW,Amsterdam,GM0363,Centrale Markt,WK0363EG,GWL-terrein,BU0363EG02,Westerpark,Stadsdeel West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/77aac431/vondelstraat,Buy,Amsterdam,,Appartement Vondelstraat 108 A,Appartement,1054 GR,3000000,k.k.,219,m2,8,,1054 GR,Amsterdam,GM0363,Vondelparkbuurt,WK0363EV,Vondelparkbuurt-Midden,BU0363EV01,Oud West / De Baarsjes,Stadsdeel West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/01c4edfb/burgemeester-cramergracht,Buy,Amsterdam,,Appartement Burgemeester Cramergracht 69,Appartement,1064 AG,375000,k.k.,76,m2,4,,1064 AG,Amsterdam,GM0363,Slotermeer-Zuidoost,WK0363FE,Noordoever Sloterplas,BU0363FE03,Geuzenveld-Slotermeer-Sloterdijken,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/532fe660/johan-huizingalaan,Buy,Amsterdam,,Appartement Johan Huizingalaan 312 2,Appartement,1065 JN,395000,k.k.,71,m2,3,,1065 JN,Amsterdam,GM0363,Slotervaart-Zuid,WK0363FN,Louis Crispijnbuurt,BU0363FN01,Slotervaart,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/5b8fac18/haarlemmerweg,Buy,Amsterdam,,Appartement Haarlemmerweg 326,Appartement,1014 BL,350000,k.k.,38,m2,1,,1014 BL,Amsterdam,GM0363,Sloterdijk-West,WK0363EA,Woon- en Groengebied Sloterdijk,BU0363EA03,Bos en Lommer,Stadsdeel West,2024
