latitude,longitude,resolution
52.257,4.6739999999999995,40x40_lowdensityareas
52.2635,4.5985,40x40_lowdensityareas
52.2635,4.6365,40x40_lowdensityareas
52.2635,4.649,40x40_lowdensityareas
52.2635,4.6615,40x40_lowdensityareas
52.2635,4.6739999999999995,40x40_lowdensityareas
52.2635,4.6865,40x40_lowdensityareas
52.27,4.5985,40x40_lowdensityareas
52.27,4.6365,40x40_lowdensityareas
52.27,4.649,40x40_lowdensityareas
52.27,4.6615,40x40_lowdensityareas
52.27,4.6739999999999995,40x40_lowdensityareas
52.27,4.6865,40x40_lowdensityareas
52.276,4.5985,40x40_lowdensityareas
52.276,4.6365,40x40_lowdensityareas
52.276,4.649,40x40_lowdensityareas
52.276,4.6615,40x40_lowdensityareas
52.276,4.6739999999999995,40x40_lowdensityareas
52.282,4.6115,40x40_lowdensityareas
52.282,4.6365,40x40_lowdensityareas
52.282,4.649,40x40_lowdensityareas
52.282,4.6615,40x40_lowdensityareas
52.288,4.6115,40x40_lowdensityareas
52.288,4.6240000000000006,40x40_lowdensityareas
52.288,4.6365,40x40_lowdensityareas
52.288,4.649,40x40_lowdensityareas
52.294,4.6240000000000006,40x40_lowdensityareas
52.294,4.6365,40x40_lowdensityareas
52.257,4.6365,40x40_lowdensityareas
52.2635,4.6240000000000006,40x40_lowdensityareas
52.27,4.6240000000000006,40x40_lowdensityareas
52.257,4.6240000000000006,40x40_lowdensityareas
52.378,4.7495,40x40_lowdensityareas
52.384,4.7495,40x40_lowdensityareas
52.336,4.6739999999999995,40x40_lowdensityareas
52.342,4.6615,40x40_lowdensityareas
52.342,4.6739999999999995,40x40_lowdensityareas
52.342,4.6995000000000005,40x40_lowdensityareas
52.348,4.6739999999999995,40x40_lowdensityareas
52.348,4.6865,40x40_lowdensityareas
52.348,4.6995000000000005,40x40_lowdensityareas
52.354,4.6865,40x40_lowdensityareas
52.354,4.6995000000000005,40x40_lowdensityareas
52.36,4.6865,40x40_lowdensityareas
52.36,4.6995000000000005,40x40_lowdensityareas
52.366,4.6739999999999995,40x40_lowdensityareas
