buurt;wijk;stadsdeel_onderverdeling;stadsdeel
Delflandpleinbuurt-West;Westlandgracht;Slotervaart;Stadsdeel Nieuw-West
Delflandpleinbuurt-Oost;Westlandgracht;Slotervaart;Stadsdeel Nieuw-West
Dorp Sloten;Sloten/Nieuw-Sloten;De Aker, Sloten en Nieuw Sloten;Stadsdeel Nieuw-West
Nieuw-Sloten-Noordwest;Sloten/Nieuw-Sloten;De Aker, Sloten en Nieuw Sloten;Stadsdeel Nieuw-West
Nieuw-Sloten-Noordoost;Sloten/Nieuw-Sloten;De Aker, Sloten en Nieuw Sloten;Stadsdeel Nieuw-West
Nieuw-Sloten-Zuidwest;Sloten/Nieuw-Sloten;De Aker, Sloten en Nieuw Sloten;Stadsdeel Nieuw-West
Belgiëplein e.o.;Sloten/Nieuw-Sloten;De Aker, Sloten en Nieuw Sloten;Stadsdeel Nieuw-West
Nieuw-Sloten-Zuidoost;Sloten/Nieuw-Sloten;De Aker, Sloten en Nieuw Sloten;Stadsdeel Nieuw-West
Aalsmeerwegbuurt-West;Hoofddorppleinbuurt;Oud Zuid;Stadsdeel Zuid
Aalsmeerwegbuurt-Oost;Hoofddorppleinbuurt;Oud Zuid;Stadsdeel Zuid
Schinkelbuurt-Noord;Schinkelbuurt;Oud Zuid;Stadsdeel Zuid
Schinkelbuurt-Zuid;Schinkelbuurt;Oud Zuid;Stadsdeel Zuid
Vondelpark-West;Willemspark;Oud Zuid;Stadsdeel Zuid
Willemsparkbuurt-Noord;Willemspark;Oud Zuid;Stadsdeel Zuid
Valeriusbuurt-West;Willemspark;Oud Zuid;Stadsdeel Zuid
Valeriusbuurt-Oost;Willemspark;Oud Zuid;Stadsdeel Zuid
Vondelpark-Oost;Museumkwartier;Oud Zuid;Stadsdeel Zuid
BurgemeesterTellegenbuurt-West;Zuid Pijp;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Burgemeester Tellegenbuurt-Oost;Zuid Pijp;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Marathonbuurt-West;Stadionbuurt;Oud Zuid;Stadsdeel Zuid
Marathonbuurt-Oost;Stadionbuurt;Oud Zuid;Stadsdeel Zuid
Minervabuurt-Noord;Apollobuurt;Oud Zuid;Stadsdeel Zuid
Minervabuurt-Midden;Apollobuurt;Oud Zuid;Stadsdeel Zuid
Minervabuurt-Zuid;Apollobuurt;Oud Zuid;Stadsdeel Zuid
Scheldebuurt-West;Scheldebuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Scheldebuurt-Midden;Scheldebuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Scheldebuurt-Oost;Scheldebuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Veluwebuurt;Scheldebuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
IJselbuurt-West;IJselbuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
IJselbuurt-Oost;IJselbuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Rijnbuurt-West;Rijnbuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Rijnbuurt-Midden;Rijnbuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Rijnbuurt-Oost;Rijnbuurt;De Pijp / Rivierenbuurt;Stadsdeel Zuid
Zuidas-Noord;Zuidas;Buitenveldert / Zuidas;Stadsdeel Zuid
Zuidas-Zuid;Zuidas;Buitenveldert / Zuidas;Stadsdeel Zuid
Buitenveldert-West-Midden;Buitenveldert-West;Buitenveldert / Zuidas;Stadsdeel Zuid
Buitenveldert-Zuidwest;Buitenveldert-West;Buitenveldert / Zuidas;Stadsdeel Zuid
Buitenveldert-Zuid-Midden;Buitenveldert-West;Buitenveldert / Zuidas;Stadsdeel Zuid
Buitenveldert-Oost-Midden;Buitenveldert-Oost;Buitenveldert / Zuidas;Stadsdeel Zuid
Buitenveldert-Zuidoost;Buitenveldert-Oost;Buitenveldert / Zuidas;Stadsdeel Zuid
Cruquiusbuurt;Oostelijk Havengebied;Indische Buurt / Oostelijk Havengebied;Stadsdeel Oost
Weesperzijde-Noord;Weesperzijde;Oud-Oost;Stadsdeel Oost
Weesperzijde-Midden/Zuid;Weesperzijde;Oud-Oost;Stadsdeel Oost
Oosterparkbuurt-Noordwest;Oosterparkbuurt;Oud-Oost;Stadsdeel Oost
Oosterparkbuurt-Zuidwest;Oosterparkbuurt;Oud-Oost;Stadsdeel Oost
Oosterparkbuurt-Zuidoost;Oosterparkbuurt;Oud-Oost;Stadsdeel Oost
Transvaalbuurt-West;Transvaalbuurt;Oud-Oost;Stadsdeel Oost
Transvaalbuurt-Oost;Transvaalbuurt;Oud-Oost;Stadsdeel Oost
Dapperbuurt-Noord;Dapperbuurt;Oud-Oost;Stadsdeel Oost
Dapperbuurt-Zuid;Dapperbuurt;Oud-Oost;Stadsdeel Oost
Timorpleinbuurt-Noord;Indische Buurt-West;Indische Buurt / Oostelijk Havengebied;Stadsdeel Oost
Timorpleinbuurt-Zuid;Indische Buurt-West;Indische Buurt / Oostelijk Havengebied;Stadsdeel Oost
Ambonpleinbuurt;Indische Buurt-West;Indische Buurt / Oostelijk Havengebied;Stadsdeel Oost
Makassarpleinbuurt;Indische Buurt-Oost;Indische Buurt / Oostelijk Havengebied;Stadsdeel Oost
Zeeburgerdijk-Oost;Indische Buurt-Oost;Indische Buurt / Oostelijk Havengebied;Stadsdeel Oost
Sumatraplantsoenbuurt;Indische Buurt-Oost;Indische Buurt / Oostelijk Havengebied;Stadsdeel Oost
Sluisbuurt;Zeeburgereiland/Bovendiep;IJburg / Eiland Zeeburg;Stadsdeel Oost
Sportheldenbuurt;Zeeburgereiland/Bovendiep;IJburg / Eiland Zeeburg;Stadsdeel Oost
Oostpunt Zeeburgereiland;Zeeburgereiland/Bovendiep;IJburg / Eiland Zeeburg;Stadsdeel Oost
