buurt;wijk;stadsdeel_onderverdeling;stadsdeel
Vogelbuurt-Noord;IJplein/Vogelbuurt;Oud-Noord;Stadsdeel Noord
Vogelbuurt-Zuid;IJplein/Vogelbuurt;Oud-Noord;Stadsdeel Noord
Tuindorp Nieuwendam-West;Tuindorp Nieuwendam;Oud-Noord;Stadsdeel Noord
Tuindorp Nieuwendam-Oost;Tuindorp Nieuwendam;Oud-Noord;Stadsdeel Noord
Hamerstraatkwartier-West;Noordelijke IJ-oevers-Oost;Oud-Noord;Stadsdeel Noord
Hamerstraatkwartier-Oost;Noordelijke IJ-oevers-Oost;Oud-Noord;Stadsdeel Noord
Noorderstrook-West;Waterland;Oost;Stadsdeel Noord
Noorderstrook-Oost;Waterland;Oost;Stadsdeel Noord
Schellingwoude-West;Waterland;Oost;Stadsdeel Noord
Schellingwoude-Oost;Waterland;Oost;Stadsdeel Noord
Schellingwoude-Noord;Waterland;Oost;Stadsdeel Noord
Weespersluis-Noord;Bloemendalerpolder;Weesp;Weesp
Waterrijk;Bloemendalerpolder;Weesp;Weesp
Lanenrijk;Bloemendalerpolder;Weesp;Weesp
Vechtrijk;Bloemendalerpolder;Weesp;Weesp
Leeuwenveld;Bloemendalerpolder;Weesp;Weesp
Bedrijventerrein Nijverheidslaan;Bloemendalerpolder;Weesp;Weesp
Bedrijventerrein-Noord Weesp;Weesp-Noordwest;Weesp;Weesp
Hogewey-Noord;Weesp-Noordwest;Weesp;Weesp
Hogewey-Midden;Weesp-Noordwest;Weesp;Weesp
Hogewey-Zuid;Weesp-Noordwest;Weesp;Weesp
Weesp Dichtersbuurt;Weesp-Noordwest;Weesp;Weesp
Weesp Schildersbuurt;Weesp-Noordwest;Weesp;Weesp
Herensingelkwartier;Weesp Binnenstad/Zuid;Weesp;Weesp
Bedrijventerrein Van Houten;Weesp Binnenstad/Zuid;Weesp;Weesp
Weesp Centrum;Weesp Binnenstad/Zuid;Weesp;Weesp
Weesp-Zuid I;Weesp Binnenstad/Zuid;Weesp;Weesp
Weesp-Zuid II;Weesp Binnenstad/Zuid;Weesp;Weesp
De Klomp;Weesp Binnenstad/Zuid;Weesp;Weesp
Aetsveldsepolder;Aetsveld/Oostelijke Vechtoever;Weesp;Weesp
Aetsveld-Zuid;Aetsveld/Oostelijke Vechtoever;Weesp;Weesp
Aetsveld-Noord;Aetsveld/Oostelijke Vechtoever;Weesp;Weesp
Oostelijke Vechtoever;Aetsveld/Oostelijke Vechtoever;Weesp;Weesp
Hoofdcentrum-Zuidoost;Amstel III/Bullewijk;Bijlmer Centrum;Stadsdeel Zuidoost
Amstel III deel C/D-Noord;Amstel III/Bullewijk;Bijlmer Centrum;Stadsdeel Zuidoost
Amstel III deel A/B-Noord;Amstel III/Bullewijk;Bijlmer Centrum;Stadsdeel Zuidoost
Amstel III deel C/D-Zuid;Amstel III/Bullewijk;Bijlmer Centrum;Stadsdeel Zuidoost
Amstel III deel A/B-Zuid;Amstel III/Bullewijk;Bijlmer Centrum;Stadsdeel Zuidoost
Venserpolder-West;Venserpolder;Bijlmer Centrum;Stadsdeel Zuidoost
Venserpolder-Oost;Venserpolder;Bijlmer Centrum;Stadsdeel Zuidoost
Hakfort/Huigenbos;H-buurt;Bijlmer Centrum;Stadsdeel Zuidoost
G-buurt-West;Ganzenhoef e.o.;Bijlmer Oost;Stadsdeel Zuidoost
G-buurt-Noord;Ganzenhoef e.o.;Bijlmer Oost;Stadsdeel Zuidoost
G-buurt-Oost;Geerdinkhof/Kantershof;Bijlmer Oost;Stadsdeel Zuidoost
Grunder/Koningshoef;Geerdinkhof/Kantershof;Bijlmer Oost;Stadsdeel Zuidoost
Bijlmermuseum-Noord;Bijlmermuseum;Bijlmer Oost;Stadsdeel Zuidoost
Bijlmermuseum-Zuid;Bijlmermuseum;Bijlmer Oost;Stadsdeel Zuidoost
De Kameleon e.o.;Bijlmermuseum;Bijlmer Oost;Stadsdeel Zuidoost
K-buurt-Zuidwest;K-buurt;Bijlmer Oost;Stadsdeel Zuidoost
K-buurt-Zuidoost;K-buurt;Bijlmer Oost;Stadsdeel Zuidoost
Holendrecht-West;Holendrecht;Gaasperdam;Stadsdeel Zuidoost
Holendrecht-Oost;Holendrecht;Gaasperdam;Stadsdeel Zuidoost
Holendrecht-Zuid;Holendrecht;Gaasperdam;Stadsdeel Zuidoost
Reigersbos 1;Reigersbos;Gaasperdam;Stadsdeel Zuidoost
Reigersbos 2;Reigersbos;Gaasperdam;Stadsdeel Zuidoost
Reigersbos 3;Reigersbos;Gaasperdam;Stadsdeel Zuidoost
Reigersbos 4;Reigersbos;Gaasperdam;Stadsdeel Zuidoost
Gein 1;Gein;Gaasperdam;Stadsdeel Zuidoost
Gein 2;Gein;Gaasperdam;Stadsdeel Zuidoost
Gein 3;Gein;Gaasperdam;Stadsdeel Zuidoost
Gein 4;Gein;Gaasperdam;Stadsdeel Zuidoost
